address,lat,lng
" Via Mazzini, 22, 25080 Polpenazze del Garda BS, Italy"",""Maselva",45.5321,10.5449
" Via Martiri della Libert�, 10, 24060 Grumello del Monte BG, Italy"",""Ernesto Ruffo",45.6601,9.7662
" Convento de Santa Maria Scala Coeli, Estrada Nacional 4, 7000-804 �vora, Portugal"",""Cartuxa",38.5551,-7.9076
" 3100 Old Sonoma Rd, Napa, CA 94558, United States"",""Schrader",38.3275,-122.3016
" 4008 Silverado Trail, Calistoga, CA 94515, United States"",""Hundred Acre",38.5932,-122.5258
" 2209 Pellerin Rd, Ventura, CA 93003, United States"",""Sine Qua Non",34.2846,-119.2063
" 1445 St. Helena Hwy, St Helena, CA 94574, United States"",""Del Dotto",38.5464,-122.4583
" 4240 Silverado Trail, Napa, CA 94558, United States"",""Darioush",38.4215,-122.3598
" Via Garbole, 29, 37031 Illasi VR, Italy"",""Garbole",45.4612,11.1371
" 5544 Silverado Trail, Napa, CA 94558, United States"",""Scarecrow",38.4486,-122.4025
" Route Nationale 86, 69420 Ampuis, France"",""E. Guigal",45.4891,4.7838
" 4 Route de Gevrey, 21220 Gevrey-Chambertin, France"",""Domaine Armand Rousseau",47.2255,4.9478
" Cobos s/n, Luj�n de Cuyo, Mendoza, Argentina"",""Catena Zapata",-33.0575,-68.8215
" Ctra. de Roa, s/n, 09314 Gumiel de Mercado, Burgos, Spain"",""Bodegas Valduero",41.6905,-3.9757
" 1615 Silverado Trail, St Helena, CA 94574, USA"",""Brion",45.7382,4.8079
" 575 Oakville Cross Rd, Oakville, CA 94562, USA"",""Gargiulo",38.4016,-122.3738
" Via Gustavo Modena, 20, 12064 La Morra CN, Italy"",""Conterno",44.6365,8.0453
" 3130 Old Lawley Toll Rd, Calistoga, CA 94515, USA"",""Amici",38.5113,-122.4669
" Polkadraai Rd, Stellenbosch, 7600, South Africa"",""De Toren",-33.8437,18.8007
" 703 Oakville Cross Rd, Napa, CA 94558, USA"",""B Cellars",38.4464,-122.409
" 401 St Helena Hwy S, St Helena, CA 94574, USA"",""Hall",38.4664,-122.4224
" 9291 West Dry Creek Rd, Healdsburg, CA 95448, USA"",""4G",41.8274,1.5376
" 1000 Lodi Ln, St Helena, CA 94574, USA"",""Dana",38.4829,-122.438
" 7773 Szeksz�rd, B�tasz�ki �t, Hungary"",""Takler",46.8906,16.9286
" 8 Travers de Le Pin, 33500 Pomerol, France"",""Le Pin",44.9339,0.1838
" 1883 London Ranch Rd, Glen Ellen, CA 95442, United States "",""Benziger",38.4048,-122.5391
" Lugar Veiga, 36860 Ponteareas, Pontevedra, Spain "",""Veiga",41.7788,-6.8267
" 150 Langhorne Creek Rd, Langhorne Creek SA 5255, Australia "",""Small Gully",-34.5852,138.9066
" R. C�ndido dos Reis 670, 4430-330 Avintes, Portugal "",""Casa Ferreirinha",41.0771,-8.2189
" Carretera de Soria, s/n, 47359 Valbuena de Duero, Valladolid, Spain "",""Vega Sicilia",41.6167,-4.1172
" Rue Saint-Julien, 33250 Pauillac, France "",""Ch�teau Latour",45.1857,-0.7457
" Ruta 7, km 1056, Perdriel, Luj�n de Cuyo, Mendoza, Argentina "",""Vi�a Cobos",-33.1191,-69.3483
" 33460 Margaux, France "",""Ch�teau Margaux",45.0462,-0.6765
" 33500 Pomerol, France "",""P�trus",44.917,0.2538
" Via Cer�, 26, 37020 Negrar VR, Italy "",""Quintarelli Giuseppe",45.48199,10.95826
" 33250 Pauillac, France "",""Ch�teau Lafite Rothschild",45.16846,-0.72726
" Via Case Sparse, 22, 53047 San Giovanni d'Asso SI, Italy "",""Masseto",43.33701,10.97729
" Saint-�milion, 33330 Saint-�milion, France "",""Ch�teau Cheval Blanc",44.92292,-0.24411
" Via Bolgherese, 275, 57022 Castagneto Carducci LI, Italy "",""Tenuta San Guido",43.22547,10.59461
" 8300 St Helena Hwy, Rutherford, CA 94573, United States "",""Cakebread",38.42754,-122.36081
" 8383 Silverado Trail, Napa, CA 94558, United States "",""ZD Wines",38.41426,-122.36346
" 1091 Larkmead Ln, Calistoga, CA 94515, United States "",""Frank Family",38.50817,-122.46715
" 78 Penfold Road, Magill SA 5072, Australia "",""Penfolds",-34.91604,138.67521
" 1551 Sage Canyon Rd, St Helena, CA 94574, United States"",""Harlan Estate",38.50378,-122.45285
" 5901 Silverado Trail, Napa, CA 94558, United States "",""Tusk",38.50292,-122.44697
" Apalta, Colchagua Valley, Chile "",""Montes",-34.61552,-70.98575
" 3787 Spring Mountain Rd, St Helena, CA 94574, United States "",""Lokoya",38.44821,-122.36416
" 7800 Money Rd, Oakville, CA 94562, United States "",""Screaming Eagle",38.47605,-122.43567
" R.N. 7, km. 1056, Vista Flores, Mendoza, Argentina "",""Monteviejo",-33.52267,-69.97283
" 6154 Silverado Trail, Napa, CA 94558, United States "",""Shafer",38.39422,-122.32883
" 4029 Hagen Rd, Napa, CA 94558, United States "",""Palmaz",38.35412,-122.23626
" Rua Cidade de Espinho, 24, 5085-215 Pinh�o, Portugal "",""Douro Boys",41.14626,-7.57389
" Mendoza, Argentina "",""Tres Mil Botellas",38.49867,-69.31979
" Hauptstraße 58, 7142 Illmitz, Austria"",""Scheiblhofer",47.8269,16.78811
" 33250 Pauillac, France "",""Ch�teau Mouton Rothschild",45.2268,-0.7461
" 1795 Sage Canyon Rd, St Helena, CA 94574, United States "",""Promontory",38.5602,-122.4122
" Via Torino, 36, 12050 Barbaresco CN, Italy "",""Gaja",44.6946,8.0533
" 200 Taplin Rd, St Helena, CA 94574, United States "",""Joseph Phelps",38.5023,-122.4693
" Via Rinaldi, 23, 12060 Castiglione Falletto CN, Italy "",""Villa Rinaldi",45.0828,7.8829
" Via Strada Bianca, 11, 12065 Monforte d'Alba CN, Italy "",""Bovin",45.9434,13.4674
" Strada Provinciale del Brunello, 53024 Montalcino SI, Italy"",""Soldera",42.9669,11.2237
" Henschke Rd, Keyneton SA 5353, Australia "",""Henschke",-34.4888,138.8612
" 30 Rue de la Font de l'Orme, 84230 Ch�teauneuf-du-Pape, France"",""Henri Bonneau",44.0295,4.8423
" Via C� Salgari, 2, 37031 Illasi VR, Italy"",""Dal Forno Romano",45.5053,10.9662
" 33250 Pauillac, France "",""Baron Philippe de Rothschild",45.1826,-0.7505
" 8700 Conn Creek Rd, Rutherford, CA 94573, United States "",""Bond",38.5539,-122.4637
" 33330 Saint-�milion, France "",""Ch�teau Ausone",44.8912,-0.1565
" 2598 Whitehall Ln, Saint Helena, CA 94574, United States "",""Bevan Cellars",38.4986,-122.4666
" Ctra. San Vicente, s/n, 26320 San Vicente de la Sonsierra, La Rioja, Spain "",""Bodega Contador (Benjam�n Romeo)",42.5617,-2.7686
" 1560 Silverado Trail, St Helena, CA 94574, United States "",""Cirq",38.5176,-122.4924
" 7481 St Helena Hwy, Oakville, CA 94562, United States "",""Memento Mori",38.4188,-122.4397
" 4550 Silverado Trail, Calistoga, CA 94515, United States "",""Maybach Family Vineyards",38.4796,-122.4571
" 500 Oakville Cross Rd, Napa, CA 94558, United States"",""Rudd",38.4927,-122.4279
" Rua da Galeira, 25, 5050-041 Celeirós, Portugal"",""Vale D. Maria",41.1739,-7.7451
" 20, Rue de la Grand Cour, 21700 Meursault, France"",""Domaine Comte Georges de Vog��",47.0118,4.7829
" Strada Provinciale del vino, 31, 12050 Barolo CN, Italy"",""Ferrag�",44.6284,7.9808
" 84190 Châteauneuf-du-Pape, France"",""Ch�teau Rayas",44.0547,4.8715
" 270 Kreuzer Ln, Napa, CA 94559, USA"",""Moone-Tsai",38.3075,-122.2889
" 360 Howell Mountain Rd S, Angwin, CA 94508, USA"",""Cade",38.5706,-122.4638
" 2926 Orchard Ave, Napa, CA 94558, USA"",""Favia",38.3402,-122.3084
" 8700 Conn Creek Rd, Rutherford, CA 94573, USA "",""David Arthur",38.5367,-122.4215
" 3478 Barossa Valley Way, Marananga SA 5355, Australia "",""Torbreck",-34.5555,138.9562
" 1500 Whitehall Ln, Saint Helena, CA 94574, USA "",""The Crane Assembly",38.2988,-122.2869
" 1560 Silverado Trail, Saint Helena, CA 94574, USA "",""Futo",38.4754,-122.4861
" 1082 Dowdell Ln, Napa, CA 94558, USA "",""Burly",38.5329,-122.4762
" Via Monte Faustino, 12, 37022 Fumane VR, Italy "",""Monte Faustino",45.5454,10.9042
" Ctra. de Peñafiel, km 1,5, 47300 Ribera del Duero, Valladolid, Spain "",""Pago de Carraovejas",41.6783,-3.7056
" Ctra. Falset a Gratallops, s/n, 43737 Gratallops, Tarragona, Spain "",""Álvaro Palacios",41.1302,0.8881
" 7600 St Helena Hwy, Oakville, CA 94562, USA "",""Pulido-Walker",38.4829,-122.4686
" Località Bussia, 39, 12065 Monforte d'Alba CN, Italy"",""Parusso",44.6326,7.9688
